date,England,Wales,Scotland,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East England,London,South East,South West
2021-04-01,110.67940633399476,106.14631230807163,103.8525734465396,104.40463284483283,108.19258801105332,110.29178283471049,116.12371264426515,112.18430780389998,113.23373605718909,108.13884996156817,112.92750439926978,114.00723548096852
2021-05-01,110.82249746404838,106.26139730951378,104.00287508623587,104.60722159470637,108.3777259585581,110.50347051368435,116.51909297739569,112.52102932577577,113.5691395341939,108.13268393251454,113.04413945423555,114.2059242337378
2021-06-01,110.96294802204143,106.45690803430934,104.03870487705392,104.72698061916479,108.50128348549302,110.66350600030141,116.65850311736432,112.86354608944814,113.76016990108235,108.21433893765573,113.18806431339468,114.39032908321931
2021-07-01,111.10568476078784,106.447782673447,104.17344557897503,104.89723984566785,108.69455929615832,110.79310479751379,116.94704781477327,112.98163958711449,114.0632425643805,108.17906753841618,113.45500315821681,114.72677908259337
2021-08-01,111.2533171698502,106.51230797122915,104.47207256879794,105.03309007807779,109.04048369747228,110.97103358831318,117.26269316414948,113.1454487938424,114.36755625561008,108.12306693094014,113.68929299712434,115.05081513573592
2021-09-01,111.49613907230453,106.69057996300862,104.61013458890992,105.353210542464,109.30044356978645,111.2163787431222,117.728558310603,113.35612389353973,114.77921996514434,108.25720796828189,113.93445893327412,115.39297824692673
2021-10-01,111.77659282130898,106.78138900549148,104.78546247896577,105.59218336805863,109.59447641669375,111.52049999813,118.10241720963752,113.57672846193165,115.39940775206165,108.36578151615306,114.25063107858917,115.90991162656319
2021-11-01,112.02492300425871,107.34375228004652,105.13440512173477,105.80697675711497,109.99234731530309,111.9672495365656,118.5745751746899,114.107179980821,115.83203546354972,108.39051015695806,114.53710067113529,116.19643036253187
2021-12-01,112.32147880257521,107.4363951595855,105.67313741367815,106.09955372528472,110.50377189057873,112.47534080901602,119.04416755720942,114.53849795320734,116.23819485185125,108.44449232704561,114.95018122786544,116.58815962658113
2022-01-01,112.63975633988628,107.54818813277267,106.10295586465466,106.34639585893161,110.90588030723698,112.90360287011679,119.5811301533702,114.87365794634724,116.50721603536536,108.63266482590326,115.26895541083549,117.18125234003382
2022-02-01,112.86741456854132,107.56742579812966,106.2634350363809,106.60569572769386,111.17125244179537,113.17725335272397,119.9269908554433,115.12641783475543,116.79903366684516,108.77938822170266,115.55004330348486,117.41504156265532
2022-03-01,113.09116779416304,107.78268701558547,106.47317471319602,106.7720573614132,111.53353423580144,113.43056192994545,120.15621219154897,115.27442038338347,117.08866978648938,108.92534723948866,115.85099894895157,117.67808411283917
2022-04-01,113.46451595559293,107.98928027556414,106.81566136631588,107.06663862867165,111.88897574441938,113.79541172969638,120.75417789331024,115.56155831088697,117.4155505286915,109.2900986189627,116.16317583253979,118.19372769660501
2022-05-01,113.87413225336238,108.33330158380868,107.21600780018514,107.39017372567761,112.24106403600138,114.02267083636511,121.26930098932593,115.98177469507024,117.92670665144236,109.70699531330727,116.50729535020068,118.72391525874428
2022-06-01,114.22932949108235,108.51538698348446,107.67182422083903,107.68657437364175,112.59488280307319,114.20727018375996,121.62273198705336,116.39777530671851,118.35612412514598,110.05362605356277,116.93757131312925,119.03006869261696
2022-07-01,114.621749719217,108.65081640876222,107.99512200153816,107.96282703895787,113.0113668320966,114.55291999796928,121.9713193571636,116.6850636474474,118.71661346733215,110.50270443262575,117.35859577955323,119.32809585412024
